일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/01/10","60700","-400","-0.65","60700","61700","60400","2178323","132740329500","27036410490900","445410387"
"2023/01/09","61100","3900","6.82","58700","61200","58300","3482961","208443993900","27214574645700","445410387"
"2023/01/06","57200","-500","-0.87","57200","58000","56500","1420345","81326211100","25477474136400","445410387"
"2023/01/05","57700","2000","3.59","55800","58200","55700","3046064","175103778900","25700179329900","445410387"
"2023/01/04","55700","2400","4.50","53200","56000","53100","2241411","123346180300","24809358555900","445410387"
"2023/01/03","53300","600","1.14","52400","53500","51400","1420569","74588286800","23740373627100","445410387"
"2023/01/02","52700","-400","-0.75","53600","53800","52400","887667","46979376500","23473127394900","445410387"
"2022/12/29","53100","-500","-0.93","53500","55300","52900","1319611","70904387100","23651291549700","445410387"
"2022/12/28","53600","-800","-1.47","53900","54700","52900","1268005","68298151900","23873996743200","445410387"
"2022/12/27","54400","800","1.49","53900","54700","53600","1226474","66426954300","24230325052800","445410387"
"2022/12/26","53600","200","0.37","53400","53800","52700","988777","52802294200","23873996743200","445410387"
"2022/12/23","53400","-1700","-3.09","54000","54300","53100","1339673","71753381000","23784914665800","445410387"
"2022/12/22","55100","900","1.66","55000","55700","54100","1228266","67375650200","24542112323700","445410387"
"2022/12/21","54200","-100","-0.18","54900","55200","53700","980179","53301559000","24141242975400","445410387"
"2022/12/20","54300","-1500","-2.69","55300","55700","53900","1390754","75990678400","24185784014100","445410387"
"2022/12/19","55800","1400","2.57","53900","56400","53900","1364858","75657071700","24853899594600","445410387"
"2022/12/16","54400","-900","-1.63","53500","54900","53100","2477820","134005541700","24230325052800","445410387"
"2022/12/15","55300","-3400","-5.79","57900","58000","55300","3034680","170618982500","24631194401100","445410387"
"2022/12/14","58700","500","0.86","58800","59500","58300","1550967","91234834000","26145589716900","445410387"
"2022/12/13","58200","100","0.17","59000","59700","57700","1532110","89432073400","25922884523400","445410387"
"2022/12/12","58100","0","0.00","57700","58700","57000","1402888","81277594500","25878343484700","445410387"
"2022/12/09","58100","2600","4.68","56100","58200","56000","2404261","138515069600","25878343484700","445410387"
"2022/12/08","55500","0","0.00","55900","56100","54900","1376893","76424625200","24720276478500","445410387"
"2022/12/07","55500","-500","-0.89","55700","56600","55400","1014142","56594589100","24716147334000","445335988"
"2022/12/06","56000","-2000","-3.45","57300","57900","56000","1380887","78212342800","24938815328000","445335988"
"2022/12/05","58000","1100","1.93","57200","59000","57200","2050445","119367426700","25829487304000","445335988"
"2022/12/02","56900","-1000","-1.73","57900","58300","56900","1165966","67109849400","25339617717200","445335988"
"2022/12/01","57900","1500","2.66","59200","59600","57700","2895695","169773437100","25784953705200","445335988"
"2022/11/30","56400","500","0.89","55600","56400","55100","1825885","102351874576","25116949723200","445335988"
"2022/11/29","55900","1300","2.38","54200","56200","54100","1358761","75348554600","24894281729200","445335988"
